# Step Time(s) Pxy(Pa) Pxz(Pa) Pyz(Pa)
89 1.780000e-13 1.218519e+44 1.906294e+43 9.327965e+42
90 1.800000e-13 1.208791e+44 1.891074e+43 9.253491e+42
91 1.820000e-13 1.199140e+44 1.875975e+43 9.179611e+42
92 1.840000e-13 1.189566e+44 1.860998e+43 9.106321e+42
93 1.860000e-13 1.180068e+44 1.846129e+43 9.033460e+42
94 1.880000e-13 1.170647e+44 1.831360e+43 8.960874e+42
95 1.900000e-13 1.161301e+44 1.816739e+43 8.889331e+42
96 1.920000e-13 1.152029e+44 1.802234e+43 8.818361e+42
97 1.940000e-13 1.142831e+44 1.787845e+43 8.747955e+42
98 1.960000e-13 1.133707e+44 1.773571e+43 8.678111e+42
99 1.980000e-13 1.124655e+44 1.759410e+43 8.608825e+42
100 2.000000e-13 1.115676e+44 1.745363e+43 8.540092e+42
101 2.020000e-13 1.106768e+44 1.731428e+43 8.471908e+42
102 2.040000e-13 1.097932e+44 1.717605e+43 8.404269e+42
103 2.060000e-13 1.089166e+44 1.703891e+43 8.337169e+42
104 2.080000e-13 1.080470e+44 1.690287e+43 8.270605e+42
105 2.100000e-13 1.071844e+44 1.676792e+43 8.204572e+42
106 2.120000e-13 1.063286e+44 1.663405e+43 8.139067e+42
107 2.140000e-13 1.054797e+44 1.650124e+43 8.074086e+42
108 2.160000e-13 1.046375e+44 1.636950e+43 8.009624e+42
109 2.180000e-13 1.038021e+44 1.623880e+43 7.945675e+42
110 2.200000e-13 1.029733e+44 1.610915e+43 7.882237e+42
111 2.220000e-13 1.021512e+44 1.598054e+43 7.819305e+42
112 2.240000e-13 1.013356e+44 1.585295e+43 7.756876e+42
113 2.260000e-13 1.005266e+44 1.572638e+43 7.694945e+42
114 2.280000e-13 9.972395e+43 1.560082e+43 7.633508e+42
115 2.300000e-13 9.892776e+43 1.547626e+43 7.572562e+42
116 2.320000e-13 -1.114156e+50 -2.888680e+50 1.496402e+50
117 2.340000e-13 -4.421046e+50 -1.146247e+51 5.937819e+50
118 2.360000e-13 -4.385749e+50 -1.137095e+51 5.890411e+50
119 2.380000e-13 -4.350733e+50 -1.128017e+51 5.843382e+50
120 2.400000e-13 -4.315997e+50 -1.119011e+51 5.796729e+50
121 2.420000e-13 -4.281538e+50 -1.110076e+51 5.750448e+50
122 2.440000e-13 -4.247354e+50 -1.101214e+51 5.704536e+50
123 2.460000e-13 -4.213443e+50 -1.092422e+51 5.658991e+50
124 2.480000e-13 -4.179803e+50 -1.083700e+51 5.613810e+50
125 2.500000e-13 -4.146431e+50 -1.075047e+51 5.568989e+50
126 2.520000e-13 -4.113326e+50 -1.066464e+51 5.524526e+50
127 2.540000e-13 -4.080485e+50 -1.057950e+51 5.480419e+50
128 2.560000e-13 -4.047907e+50 -1.049503e+51 5.436663e+50
129 2.580000e-13 -4.015588e+50 -1.041124e+51 5.393257e+50
130 2.600000e-13 -3.983528e+50 -1.032811e+51 5.350197e+50
131 2.620000e-13 -3.951723e+50 -1.024565e+51 5.307481e+50
132 2.640000e-13 -3.920173e+50 -1.016385e+51 5.265106e+50
133 2.660000e-13 -3.888874e+50 -1.008270e+51 5.223069e+50
134 2.680000e-13 -3.857825e+50 -1.000220e+51 5.181368e+50
135 2.700000e-13 -3.827025e+50 -9.922346e+50 5.140000e+50
136 2.720000e-13 -3.796470e+50 -9.843126e+50 5.098962e+50
137 2.740000e-13 -3.766159e+50 -9.764539e+50 5.058252e+50
138 2.760000e-13 -3.736090e+50 -9.686579e+50 5.017867e+50
139 2.780000e-13 -3.706261e+50 -9.609241e+50 4.977805e+50
140 2.800000e-13 -3.676670e+50 -9.532521e+50 4.938062e+50
141 2.820000e-13 -3.647092e+50 -9.456490e+50 4.898601e+50
142 2.840000e-13 -3.617307e+50 -9.381218e+50 4.859386e+50
143 2.860000e-13 -3.588427e+50 -9.306318e+50 4.820589e+50
144 2.880000e-13 -3.559777e+50 -9.232017e+50 4.782101e+50
145 2.900000e-13 -3.531356e+50 -9.158308e+50 4.743921e+50
146 2.920000e-13 -3.503161e+50 -9.085188e+50 4.706045e+50
147 2.940000e-13 1.771512e+51 5.358855e+51 8.960695e+50
148 2.960000e-13 8.063708e+51 2.394649e+52 2.166301e+51
149 2.980000e-13 7.999327e+51 2.375530e+52 2.149005e+51
150 3.000000e-13 7.935460e+51 2.356564e+52 2.131848e+51
151 3.020000e-13 7.872104e+51 2.337749e+52 2.114827e+51
152 3.040000e-13 7.809253e+51 2.319084e+52 2.097942e+51
153 3.060000e-13 7.746904e+51 2.300569e+52 2.081192e+51
154 3.080000e-13 7.685052e+51 2.282201e+52 2.064576e+51
155 3.100000e-13 -5.974120e+52 -5.042744e+52 7.073471e+52
156 3.120000e-13 -2.597454e+53 -2.674765e+53 2.745847e+53
157 3.140000e-13 -2.576716e+53 -2.653409e+53 2.723924e+53
158 3.160000e-13 -2.556143e+53 -2.632224e+53 2.702176e+53
159 3.180000e-13 -2.535735e+53 -2.611209e+53 2.680602e+53
160 3.200000e-13 -2.515490e+53 -2.590361e+53 2.659200e+53
161 3.220000e-13 -2.495406e+53 -2.569679e+53 2.637969e+53
162 3.240000e-13 -2.475483e+53 -2.549163e+53 2.616907e+53
163 3.260000e-13 -2.455719e+53 -2.528811e+53 2.596014e+53
164 3.280000e-13 -2.436112e+53 -2.508621e+53 2.575287e+53
165 3.300000e-13 -2.416662e+53 -2.488592e+53 2.554726e+53
166 3.320000e-13 -2.397368e+53 -2.468723e+53 2.534329e+53
167 3.340000e-13 -2.378227e+53 -2.449012e+53 2.514095e+53
168 3.360000e-13 -2.359239e+53 -2.429460e+53 2.494023e+53
169 3.380000e-13 -2.340403e+53 -2.410063e+53 2.474110e+53
170 3.400000e-13 -2.321717e+53 -2.390821e+53 2.454357e+53
171 3.420000e-13 -2.303181e+53 -2.371733e+53 2.434761e+53
172 3.440000e-13 -2.284792e+53 -2.352797e+53 2.415322e+53
173 3.460000e-13 -2.266550e+53 -2.334012e+53 2.396038e+53
174 3.480000e-13 -2.248454e+53 -2.315377e+53 2.376908e+53
175 3.500000e-13 -2.230503e+53 -2.296891e+53 2.357931e+53
176 3.520000e-13 -2.212694e+53 -2.278553e+53 2.339105e+53
177 3.540000e-13 -2.195028e+53 -2.260361e+53 2.320430e+53
178 3.560000e-13 -2.177503e+53 -2.242314e+53 2.301904e+53
179 3.580000e-13 -2.160118e+53 -2.224411e+53 2.283525e+53
180 3.600000e-13 -2.142871e+53 -2.206652e+53 2.265294e+53
181 3.620000e-13 -2.125763e+53 -2.189034e+53 2.247208e+53
182 3.640000e-13 -2.108791e+53 -2.171557e+53 2.229266e+53
183 3.660000e-13 -2.091954e+53 -2.154219e+53 2.211467e+53
184 3.680000e-13 -2.075252e+53 -2.137020e+53 2.193811e+53
185 3.700000e-13 -2.058683e+53 -2.119958e+53 2.176296e+53
186 3.720000e-13 -2.042247e+53 -2.103032e+53 2.158920e+53
187 3.740000e-13 -2.025941e+53 -2.086241e+53 2.141683e+53
188 3.760000e-13 -2.009766e+53 -2.069585e+53 2.124584e+53
